  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
724940 23234 201308292256 290  21 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   73   59 1016.9 30.03 1016.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308292356 280  21 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   71   58 1016.6 30.02 1016.0  74  69  0.00 ***** ***** ***** ** 
724940 23234 201308300000 280  21 *** *** SCT * * * 10.0 ** ** ** ** ** ** ** ** *   71   58 1016.6 ***** 1013.4  74  61 ***** ***** ***** ***** ** 
724940 23234 201308300056 280  16  26 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   68   58 1016.2 30.01 1015.7 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308300156 280  21  25 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   67   58 1015.8 30.00 1015.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308300256 270  17 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   65   59 1015.9 30.00 1015.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308300356 280  21 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   65   59 1016.8 30.03 1016.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308300446 280  17 ***  11 *** * * * 10.0 ** ** ** ** ** ** ** ** *   64   61 ****** 30.04 1016.7 *** *** ***** ***** ***** ***** ** 
724940 23234 201308300456 290  16  24   8 *** * * * 10.0 ** ** ** ** ** ** ** ** *   64   60 1017.1 30.04 1016.7 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308300556 290  14 ***   6 *** * * * 10.0 ** ** ** ** ** ** ** ** *   63   60 1017.4 30.05 1017.0  71  63  0.00 ***** ***** ***** ** 
724940 23234 201308300600 290  14 *** *** OVC * * * 10.0 ** ** ** ** ** ** ** ** *   63   60 1017.4 ***** 1014.4  71  61 ***** ***** ***** ***** ** 
724940 23234 201308300656 270  14 ***   6 *** * * * 10.0 ** ** ** ** ** ** ** ** *   63   59 1017.4 30.05 1017.0 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308300756 280  10 ***   6 *** * * * 10.0 ** ** ** ** ** ** ** ** *   62   58 1017.4 30.04 1016.7  74  61  0.00 ***** ***** ***** ** 
724940 23234 201308300759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  74 *** ***** *****  0.00 ***** ** 
724940 23234 201308300824 290  11 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   61   57 ****** 30.04 1016.7 *** *** ***** ***** ***** ***** ** 
724940 23234 201308300856 280  10 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   61   58 1017.2 30.04 1016.7 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308300956 290   9 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   61   58 1016.7 30.03 1016.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308301056 280  14 ***   6 *** * * *  7.0 ** ** ** ** ** ** ** ** *   61   58 1016.7 30.03 1016.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308301156 280  11 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   61   58 1016.7 30.02 1016.0  63  61  0.00 ***** ***** ***** ** 
724940 23234 201308301200 280  11 *** *** SCT * * * 10.0 ** ** ** ** ** ** ** ** *   61   58 1016.7 ***** 1013.4  74  61 ***** ***** ***** ***** ** 
724940 23234 201308301203 280  13 ***   6 *** * * * 10.0 ** ** ** ** ** ** ** ** *   61   57 ****** 30.03 1016.3 *** *** ***** ***** ***** ***** ** 
724940 23234 201308301256 290  13 ***   6 *** * * * 10.0 ** ** ** ** ** ** ** ** *   60   58 1016.8 30.03 1016.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308301354 300   9 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   61   57 ****** 30.04 1016.7 *** *** ***** ***** ***** ***** ** 
724940 23234 201308301356 300   9 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   60   57 1017.2 30.04 1016.7 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308301456 300   8 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   61   58 1017.3 30.04 1016.7 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308301556 ***   0 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   62   58 1017.5 30.05 1017.0 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308301656 ***   0 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   67   59 1017.5 30.05 1017.0 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308301756 080   5 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   68   60 1017.2 30.04 1016.7  69  60  0.00 ***** ***** ***** ** 
724940 23234 201308301800 080   5 *** *** SCT * * * 10.0 ** ** ** ** ** ** ** ** *   68   60 1017.2 ***** 1014.1  69  60 ***** ***** ***** ***** ** 
724940 23234 201308301856 010   5 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   72   61 1017.0 30.03 1016.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308301956 300  17 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   77   58 1016.2 30.01 1015.7 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308302056 290  21 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   76   58 1015.8 30.00 1015.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308302156 270  24 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   76   58 1015.4 29.99 1015.0 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308302256 270  26 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   74   58 1014.9 29.97 1014.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308302356 270  26  32 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   73   58 1014.2 29.95 1013.6  78  68  0.00 ***** ***** ***** ** 
724940 23234 201308310000 270  26 *** *** SCT * * * 10.0 ** ** ** ** ** ** ** ** *   73   58 1014.2 ***** 1011.1  78  61 ***** ***** ***** ***** ** 
724940 23234 201308310056 280  28  33 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   70   57 1013.8 29.94 1013.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308310156 290  23  29 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   67   57 1013.4 29.93 1012.9 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308310256 300  15  24 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   64   57 1013.7 29.94 1013.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308310356 300  11 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   64   56 1014.0 29.95 1013.6 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308310456 300   9 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   63   56 1014.4 29.96 1014.0 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308310556 290  10 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   62   56 1014.5 29.96 1014.0  73  62  0.00 ***** ***** ***** ** 
724940 23234 201308310600 290  10 *** *** *** * * * 10.0 ** ** ** ** ** ** ** ** *   62   56 1014.5 ***** 1011.4  73  61 ***** ***** ***** ***** ** 
724940 23234 201308310656 290  13 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   62   56 1014.7 29.96 1014.0 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308310756 290  14 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   61   56 1014.6 29.96 1014.0  78  60  0.00 ***** ***** ***** ** 
724940 23234 201308310759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  78 *** ***** *****  0.00 ***** ** 
724940 23234 201308310841 300  11 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   61   55 ****** 29.95 1013.6 *** *** ***** ***** ***** ***** ** 
724940 23234 201308310856 300  13 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   60   55 1014.4 29.96 1014.0 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308310956 290  10 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   59   55 1014.2 29.95 1013.6 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308311056 290  14 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   58   55 1014.3 29.95 1013.6 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308311156 300  18 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   57   54 1014.1 29.95 1013.6  62  57  0.00 ***** ***** ***** ** 
724940 23234 201308311200 300  18 *** *** SCT * * * 10.0 ** ** ** ** ** ** ** ** *   57   54 1014.1 ***** 1011.1  78  57 ***** ***** ***** ***** ** 
724940 23234 201308311244 290  13  22   5 *** * * * 10.0 ** ** ** ** ** ** ** ** *   57   55 ****** 29.96 1014.0 *** *** ***** ***** ***** ***** ** 
724940 23234 201308311256 290  18  23   5 *** * * * 10.0 ** ** ** ** ** ** ** ** *   57   55 1014.2 29.95 1013.6 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308311314 300  15 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   57   55 ****** 29.96 1014.0 *** *** ***** ***** ***** ***** ** 
724940 23234 201308311356 280  13 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   58   55 1015.1 29.98 1014.6 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308311420 280  11 ***   5 *** * * * 10.0 ** ** ** ** ** ** ** ** *   57   55 ****** 29.98 1014.6 *** *** ***** ***** ***** ***** ** 
724940 23234 201308311456 270  10 ***   5 *** * * * 10.0 ** ** ** ** ** ** ** ** *   59   56 1015.3 29.98 1014.6 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308311556 270  10 ***   7 *** * * * 10.0 ** ** ** ** ** ** ** ** *   61   56 1015.7 29.99 1015.0 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308311629 280  13 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   63   55 ****** 29.99 1015.0 *** *** ***** ***** ***** ***** ** 
724940 23234 201308311656 280  15 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   64   56 1015.7 30.00 1015.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308311756 280  16  22 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   66   56 1015.7 30.00 1015.3  67  57  0.00 ***** ***** ***** ** 
724940 23234 201308311800 280  16 *** *** SCT * * * 10.0 ** ** ** ** ** ** ** ** *   66   56 1015.7 ***** 1012.7  67  57 ***** ***** ***** ***** ** 
724940 23234 201308311856 300  13 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   68   56 1015.5 29.99 1015.0 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308311956 280  18 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   69   56 1015.3 29.98 1014.6 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308312056 270  23 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   71   56 1014.9 29.97 1014.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308312156 270  24 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   70   57 1014.5 29.96 1014.0 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308312256 270  22 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   69   57 1013.8 29.94 1013.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308312356 280  17 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   68   57 1013.4 29.93 1012.9  71  66  0.00 ***** ***** ***** ** 
724940 23234 201309010000 280  17 *** *** SCT * * * 10.0 ** ** ** ** ** ** ** ** *   68   57 1013.4 ***** 1010.4  71  57 ***** ***** ***** ***** ** 
724940 23234 201309010056 280  17 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   66   56 1013.2 29.92 1012.6 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309010156 280  13 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   64   56 1013.1 29.92 1012.6 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309010256 290  10 *** 140 *** * * * 10.0 ** ** ** ** ** ** ** ** *   61   55 1013.4 29.93 1012.9 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309010356 290   8 *** 140 *** * * * 10.0 ** ** ** ** ** ** ** ** *   60   55 1013.8 29.94 1013.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309010456 290  11 *** 120 *** * * * 10.0 ** ** ** ** ** ** ** ** *   60   55 1014.1 29.95 1013.6 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309010556 280  13 *** 120 *** * * * 10.0 ** ** ** ** ** ** ** ** *   60   55 1014.4 29.96 1014.0  68  60  0.00 ***** ***** ***** ** 
724940 23234 201309010600 280  13 *** *** BKN * * * 10.0 ** ** ** ** ** ** ** ** *   60   55 1014.4 ***** 1011.4  68  57 ***** ***** ***** ***** ** 
724940 23234 201309010652 280  11 ***   8 *** * * * 10.0 ** ** ** ** ** ** ** ** *   61   55 ****** 29.95 1013.6 *** *** ***** ***** ***** ***** ** 
724940 23234 201309010656 280  14 ***   8 *** * * * 10.0 ** ** ** ** ** ** ** ** *   60   55 1014.4 29.96 1014.0 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309010756 280  13 ***   8 *** * * * 10.0 ** ** ** ** ** ** ** ** *   60   55 1014.3 29.96 1014.0  71  57  0.00 ***** ***** ***** ** 
724940 23234 201309010759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  71 *** ***** *****  0.00 ***** ** 
724940 23234 201309010807 280  13 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   61   55 ****** 29.95 1013.6 *** *** ***** ***** ***** ***** ** 
724940 23234 201309010856 270  10 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   60   54 1014.1 29.95 1013.6 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309010956 260   7 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   59   54 1014.1 29.95 1013.6 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309011056 280   9 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   59   54 1013.8 29.94 1013.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309011156 290   7 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   59   54 1013.5 29.93 1012.9  62  59  0.00 ***** ***** ***** ** 
724940 23234 201309011200 290   7 *** *** SCT * * * 10.0 ** ** ** ** ** ** ** ** *   59   54 1013.5 ***** 1010.4  71  59 ***** ***** ***** ***** ** 
724940 23234 201309011256 290   7 *** 130 *** * * * 10.0 ** ** ** ** ** ** ** ** *   59   54 1013.7 29.94 1013.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309011356 290   3 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   59   54 1014.0 29.95 1013.6 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309011456 290  10 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   60   54 1014.3 29.96 1014.0 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309011556 280  13 *** 180 *** * * * 10.0 ** ** ** ** ** ** ** ** *   63   55 1014.3 29.95 1013.6 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309011656 290  10 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   66   55 1014.6 29.96 1014.0 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309011756 310   9 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   69   56 1014.2 29.95 1013.6  69  58  0.00 ***** ***** ***** ** 
724940 23234 201309011800 310   9 *** *** SCT * * * 10.0 ** ** ** ** ** ** ** ** *   69   56 1014.2 ***** 1011.1  69  58 ***** ***** ***** ***** ** 
724940 23234 201309011856 300  11 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   71   54 1013.9 29.94 1013.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309011956 300  17 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   71   55 1013.5 29.93 1012.9 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309012056 300  16 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   72   54 1013.4 29.93 1012.9 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309012156 300  20  23 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   73   53 1012.9 29.91 1012.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309012256 270  22 *** 180 *** * * * 10.0 ** ** ** ** ** ** ** ** *   68   56 1012.7 29.91 1012.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309012356 270  24 *** 180 *** * * * 10.0 ** ** ** ** ** ** ** ** *   68   58 1012.7 29.91 1012.3  74  68  0.00 ***** ***** ***** ** 
724940 23234 201309020000 270  24 *** *** BKN * * * 10.0 ** ** ** ** ** ** ** ** *   68   58 1012.7 ***** 1009.7  74  59 ***** ***** ***** ***** ** 
724940 23234 201309020056 280  21 *** 120 *** * * * 10.0 ** ** ** ** ** ** ** ** *   67   59 1012.7 29.91 1012.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309020156 270  22 ***  75 *** * * * 10.0 ** ** ** ** ** ** ** ** *   65   59 1012.9 29.91 1012.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309020256 270  18  24 120 *** * * * 10.0 ** ** ** ** ** ** ** ** *   65   59 1012.9 29.91 1012.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309020356 270  16  23 120 *** * * * 10.0 ** ** ** ** ** ** ** ** *   65   59 1013.1 29.92 1012.6 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309020456 290   9 *** 120 *** * * * 10.0 ** ** ** ** ** ** ** ** *   65   59 1013.5 29.93 1012.9 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309020556 280   8 ***  10 *** * * * 10.0 ** ** ** ** ** ** ** ** *   65   60 1013.7 29.94 1013.3  68  64  0.00 ***** ***** ***** ** 
724940 23234 201309020600 280   8 *** *** BKN * * * 10.0 ** ** ** ** ** ** ** ** *   65   60 1013.7 ***** 1010.7  68  59 ***** ***** ***** ***** ** 
724940 23234 201309020656 280   6 ***  10 *** * * * 10.0 ** ** ** ** ** ** ** ** *   65   60 1013.7 29.94 1013.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309020756 280   8 ***   9 *** * * * 10.0 ** ** ** ** ** ** ** ** *   65   60 1013.7 29.94 1013.3  74  58  0.00 ***** ***** ***** ** 
724940 23234 201309020759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  74 *** ***** *****  0.00 ***** ** 
724940 23234 201309020856 280  11 ***   9 *** * * * 10.0 ** ** ** ** ** ** ** ** *   64   60 1013.5 29.93 1012.9 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309020917 260  10 ***   4 *** * * * 10.0 ** ** ** ** ** ** ** ** *   63   61 ****** 29.93 1012.9 *** *** ***** ***** ***** ***** ** 
724940 23234 201309020956 270   8 ***   4 *** * * * 10.0 ** ** ** ** ** ** ** ** *   63   60 1013.4 29.93 1012.9 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309021056 260   7 ***   8 *** * * * 10.0 ** ** ** ** ** ** ** ** *   64   60 1013.3 29.93 1012.9 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309021156 270  13 ***   8 *** * * * 10.0 ** ** ** ** ** ** ** ** *   65   60 1013.1 29.92 1012.6  65  63  0.00 ***** ***** ***** ** 
724940 23234 201309021200 270  13 *** *** BKN * * * 10.0 ** ** ** ** ** ** ** ** *   65   60 1013.1 ***** 1010.0  74  63 ***** ***** ***** ***** ** 
724940 23234 201309021256 990   5 ***  13 *** * * * 10.0 ** ** ** ** ** ** ** ** *   65   60 1013.4 29.93 1012.9 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309021356 290   7 ***  11 *** * * * 10.0 ** ** ** ** ** ** ** ** *   65   60 1013.8 29.94 1013.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309021456 270   8 ***  11 *** * * * 10.0 ** ** ** ** ** ** ** ** *   66   60 1014.3 29.95 1013.6 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309021556 270   7 ***  11 *** * * * 10.0 ** ** ** ** ** ** ** ** *   66   60 1014.6 29.96 1014.0 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309021656 270  13 ***  11 *** * * * 10.0 ** ** ** ** ** ** ** ** *   67   60 1014.9 29.97 1014.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201309021756 290   9 ***  11 *** * * * 10.0 ** ** ** ** ** ** ** ** *   68   59 1014.9 29.97 1014.3  68  65  0.00 ***** ***** ***** ** 
724940 23234 201309021800 290   9 *** *** BKN * * * 10.0 ** ** ** ** ** ** ** ** *   68   59 1014.9 ***** 1011.7  68  65 ***** ***** ***** ***** ** 
724940 23234 201309021816 290  10 *** 150 *** * * * 10.0 ** ** ** ** ** ** ** ** *   70   59 ****** 29.97 1014.3 *** *** ***** ***** ***** ***** ** 
724940 23234 201309021856 290  14 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   72   59 1014.5 29.96 1014.0 *** ***  0.00 ***** ***** ***** ** 
